p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.17979250760223	0.355	0.076	0	0	LINC02306
0	1.17950706209519	0.927	0.528	0	0	LRFN5
0	1.16917563139635	0.71	0.216	0	0	PTK2B
0	1.16910429031875	0.86	0.503	0	0	FLRT2
0	1.16825236426259	0.535	0.052	0	0	TESPA1
0	1.16803797378302	0.984	0.745	0	0	PHACTR1
0	1.16320889262846	0.931	0.444	0	0	CHRM3
0	1.16281589151271	0.956	0.533	0	0	CACNA1B
0	1.16198028823689	0.83	0.44	0	0	CHN1
0	1.15985176950954	0.945	0.461	0	0	ARPP21
0	1.15560947838533	0.763	0.242	0	0	SATB2
0	1.15313847933577	0.849	0.414	0	0	PRKAG2
0	1.14515654549037	0.485	0.024	0	0	AC008574.1
0	1.14489377305115	0.964	0.641	0	0	CAMK1D
0	1.13497703925072	0.963	0.669	0	0	KALRN
0	1.12787343204433	0.419	0.1	0	0	LINC02296
0	1.11533687024954	0.691	0.314	0	0	FAM153C
0	1.10916570787313	0.626	0.169	0	0	LY86-AS1
0	1.08057362364999	0.576	0.172	0	0	TCERG1L
0	1.07586958400803	0.873	0.44	0	0	CAMK2A
0	1.07140661871292	0.735	0.349	0	0	GABRG2
0	1.06412155252029	0.924	0.55	0	0	PRKCB
0	1.05150964609909	0.631	0.272	0	0	SNTB2
0	1.04635899988197	0.901	0.461	0	0	RBFOX3
0	1.04430562586305	0.795	0.373	0	0	PCSK2
0	1.0440595265737	0.838	0.468	0	0	EFNA5
0	1.04405834352774	0.849	0.389	0	0	LINGO2
0	1.04392382220298	0.73	0.169	0	0	CA10
0	1.03165396070185	0.429	0.069	0	0	CYP1B1-AS1
0	1.02991448205554	0.728	0.294	0	0	ACTN1
0	1.02896882820059	0.967	0.559	0	0	RYR2
0	1.02634940697036	0.579	0.179	0	0	AC019211.1
0	1.02633079755941	0.375	0.08	0	0	AC093607.1
0	1.02478536421623	0.855	0.506	0	0	GRIA4
0	1.02383022198761	0.642	0.202	0	0	ANKRD33B
0	1.01427014553858	0.922	0.506	0	0	KCNQ5
0	1.00845299444225	0.883	0.544	0	0	ATP2B1
0	1.00725387307218	0.865	0.482	0	0	SHANK2
0	1.00480978072627	0.775	0.383	0	0	KCNQ2
0	1.00001869871359	0.969	0.633	0	0	CACNA1C
0	0.996578660661609	0.915	0.498	0	0	HECW1
0	0.995616332999044	0.563	0.162	0	0	ANO3
0	0.995146226858395	0.724	0.296	0	0	COL26A1
0	0.994936454185276	0.5	0.125	0	0	ZBBX
0	0.994908942209405	0.827	0.441	0	0	RIMBP2
0	0.993847185766759	0.801	0.366	0	0	SH3GL2
0	0.991420724231013	0.968	0.607	0	0	PTPRN2
0	0.983232945865149	0.965	0.73	0	0	GRIA2
0	0.982629000692146	0.849	0.507	0	0	MKL2
0	0.981976027403279	0.833	0.447	0	0	SLC35F3
0	0.981368351174533	0.291	0.059	0	0	BDNF
0	0.98057646459106	0.893	0.549	0	0	FBXW7
0	0.978809034627155	0.885	0.519	0	0	RAPGEF5
0	0.978517206918221	0.909	0.486	0	0	TMEM132D
0	0.97745322761372	0.802	0.404	0	0	GUCY1A2
0	0.976625286657037	0.71	0.35	0	0	KCTD1
0	0.976074280421685	0.873	0.536	0	0	NIN
0	0.974920498652607	0.826	0.427	0	0	ADGRL2
0	0.974761917512472	0.624	0.207	0	0	NWD2
0	0.974300628401965	0.934	0.515	0	0	DCLK1
0	0.969593199516727	0.776	0.366	0	0	CACNA1E
0	0.968332758584999	0.713	0.278	0	0	BASP1-AS1
0	0.965057463332987	0.704	0.307	0	0	OLFM3
0	0.959368338714801	1	0.857	0	0	CSMD1
0	0.955585967879867	0.883	0.504	0	0	GABRB3
0	0.955088709546266	0.8	0.396	0	0	ITPR1
0	0.95269228745379	0.632	0.179	0	0	NRGN
0	0.950218491273881	0.465	0.125	0	0	OTOGL
0	0.94115639695204	0.662	0.244	0	0	BAIAP2
0	0.93809175484961	0.664	0.23	0	0	SYT7
0	0.922859250050021	0.757	0.324	0	0	EPHA4
0	0.918358543861363	0.931	0.648	0	0	PLEKHA5
0	0.913839812457666	0.93	0.612	0	0	ATRNL1
0	0.91346955056051	0.537	0.119	0	0	GULP1
0	0.909574242911206	0.911	0.527	0	0	KHDRBS2
0	0.905858378477634	0.775	0.349	0	0	LRFN2
0	0.903756414880503	0.968	0.76	0	0	PDE4D
0	0.9034825350333	0.778	0.365	0	0	RASGRF2
0	0.900143262125809	0.915	0.641	0	0	TMEM178B
0	0.898670369608607	0.719	0.363	0	0	ARMC9
0	0.896165659050731	0.875	0.486	0	0	ASIC2
0	0.894646974098597	0.838	0.44	0	0	CHD5
0	0.890905559554236	0.971	0.828	0	0	PTPRD
0	0.887115202034909	0.917	0.71	0	0	PPFIA2
0	0.884863375461462	0.535	0.153	0	0	AC067956.1
0	0.878791248478696	0.942	0.519	0	0	GALNT17
0	0.87752253574005	0.603	0.166	0	0	NGEF
0	0.872284730621622	0.936	0.594	0	0	TENM2
0	0.870824573831015	0.961	0.651	0	0	AGBL4
0	0.865948965449805	0.892	0.496	0	0	GABBR2
0	0.865718440861124	0.718	0.308	0	0	CADPS2
0	0.865374231271213	0.749	0.342	0	0	CNTN3
0	0.858432930201819	0.686	0.308	0	0	PTPRR
0	0.853714553771889	0.77	0.426	0	0	MCTP1
0	0.852888681088313	0.734	0.377	0	0	PTPRO
0	0.851387371626533	0.827	0.313	0	0	FSTL4
0	0.842490584684732	0.724	0.367	0	0	CAMK4
0	0.842448372831003	0.621	0.225	0	0	NIPAL2
0	0.841189355172931	0.841	0.466	0	0	ANKRD30BL
0	0.838518493622785	0.691	0.323	0	0	CCDC3
0	0.837392772391472	0.78	0.453	0	0	FP700111.1
0	0.834597536544694	0.996	0.748	0	0	RBFOX1
0	0.83212951434124	0.605	0.223	0	0	SLC8A2
0	0.831579716356786	0.429	0.057	0	0	ADAMTS3
0	0.82179560106691	0.655	0.277	0	0	PRKAR2B
0	0.819095790816477	0.817	0.46	0	0	KIAA1549L
0	0.817491188985066	0.795	0.486	0	0	MED12L
0	0.812709557783174	0.635	0.254	0	0	NDST3
0	0.811652330070758	0.905	0.552	0	0	SNAP25
0	0.809880558757992	0.379	0.008	0	0	LINC00507
0	0.807333144273897	0.522	0.159	0	0	AC073365.1
0	0.804145107673791	0.807	0.442	0	0	GRIN1
0	0.803958937944367	0.399	0.075	0	0	COL24A1
0	0.802254208331892	0.346	0.023	0	0	SH3RF2
0	0.802215071494071	0.963	0.627	0	0	RIMS2
0	0.801690984902337	0.732	0.344	0	0	PRICKLE1
0	0.799622559005355	0.784	0.436	0	0	ZFPM2
0	0.795709158151036	0.751	0.383	0	0	VSNL1
0	0.795632062656214	0.808	0.473	0	0	KSR2
0	0.79522539578562	0.944	0.545	0	0	GRIN2A
0	0.795205139042052	0.803	0.465	0	0	ADAM23
0	0.795074563858042	0.917	0.684	0	0	NEGR1
0	0.794789998512532	0.976	0.615	0	0	SYT1
0	0.792040980120751	0.897	0.627	0	0	MSRA
0	0.789888770064977	0.897	0.54	0	0	GRM7
0	0.789252632673371	0.628	0.244	0	0	SNED1
0	0.789054260551845	0.429	0.04	0	0	AP005328.1
0	0.788994848220811	0.847	0.488	0	0	NEDD4L
0	0.786641883577854	0.638	0.276	0	0	LNX1
0	0.7836721949543	0.803	0.444	0	0	CELF5
0	0.779195553479768	0.671	0.307	0	0	NDFIP2
0	0.778401805808044	0.786	0.449	0	0	MYH10
0	0.778062278416711	0.785	0.483	0	0	PPM1L
0	0.774939694327598	0.773	0.411	0	0	KCNB1
0	0.773336456736582	0.711	0.329	0	0	AJAP1
0	0.772856510763257	0.473	0.1	0	0	VWA3A
0	0.770639998021442	0.866	0.637	0	0	ARHGAP32
0	0.767627675041321	0.631	0.264	0	0	ANKRD24
0	0.761200875338442	0.485	0.126	0	0	MCHR2
0	0.761092372714591	0.879	0.606	0	0	ARHGAP26
0	0.759820497916569	0.534	0.18	0	0	PHYHIP
0	0.759190115572056	0.793	0.464	0	0	EPB41L3
0	0.758843602916986	0.773	0.432	0	0	ABLIM2
0	0.753735722531272	0.636	0.27	0	0	KCNK1
0	0.745503649079843	0.717	0.363	0	0	KCNJ6
0	0.742000887729564	0.632	0.249	0	0	GRM1
0	0.739705477503373	0.563	0.171	0	0	SLC17A7
0	0.73721679369915	0.596	0.255	0	0	MGAT5B
0	0.736946922609341	0.893	0.544	0	0	GRM5
0	0.735606127839765	0.596	0.234	0	0	CAMKK1
0	0.733683032532079	0.881	0.576	0	0	CACNA2D1
0	0.730325346367521	0.485	0.15	0	0	AL591501.1
0	0.730030306392088	0.622	0.248	0	0	RFTN1
0	0.729904142861608	0.491	0.132	0	0	DLGAP1-AS4
0	0.725153799215365	0.787	0.398	0	0	MICAL2
0	0.720910680595263	0.615	0.272	0	0	NEURL1
0	0.72054755278205	0.464	0.109	0	0	LAMB1
0	0.720509262662241	0.681	0.349	0	0	SLC39A10
0	0.719434010344556	0.83	0.5	0	0	GRIA3
0	0.716738146253287	0.694	0.359	0	0	WASF1
0	0.715295992786066	0.765	0.396	0	0	UNC13A
0	0.713407314489062	0.6	0.267	0	0	PRMT8
0	0.712046210952646	0.66	0.325	0	0	JPH4
0	0.711495667383799	0.94	0.77	0	0	SIPA1L1
0	0.707467227591958	0.541	0.209	0	0	GALNT9
0	0.705321291239245	0.893	0.681	0	0	TANC2
0	0.704286695186925	0.556	0.231	0	0	PRB2
0	0.696112055433427	0.9	0.594	0	0	NTRK3
0	0.695663795061313	0.479	0.125	0	0	ANKRD18B
0	0.688154435233792	0.559	0.236	0	0	FAM153A
0	0.683000275185381	0.555	0.224	0	0	CFAP46
0	0.682642599268982	0.476	0.153	0	0	B4GALNT3
0	0.679014175119888	0.955	0.668	0	0	LRRC7
0	0.678792492750315	0.317	0.07	0	0	COL5A2
0	0.673105512769328	0.37	0.071	0	0	MYOM2
0	0.670080289108676	0.641	0.3	0	0	ADCY1
0	0.666381323148857	0.514	0.183	0	0	SYNPO2
0	0.664356095057768	0.437	0.081	0	0	GLRA3
0	0.662616901176562	0.592	0.254	0	0	AQP4-AS1
0	0.661811823522973	0.404	0.097	0	0	CFAP299
0	0.656307901986659	0.669	0.288	0	0	CDH9
0	0.653829931217349	0.468	0.133	0	0	PRAG1
0	0.653687086364385	0.536	0.189	0	0	BICC1
0	0.652180459948418	0.983	0.862	0	0	ANKS1B
0	0.650969251881604	0.605	0.221	0	0	SMAD3
0	0.647874227056378	0.56	0.222	0	0	ANXA11
0	0.641883405274984	0.434	0.144	0	0	PTH2R
0	0.640296075438336	0.822	0.391	0	0	SORCS1
0	0.639681036983806	0.381	0.097	0	0	AC138904.3
0	0.637947763314269	0.532	0.198	0	0	JPH1
0	0.633636851462644	0.629	0.277	0	0	OLFM1
0	0.633526807469487	0.539	0.196	0	0	ZBTB46
0	0.625877569071515	0.348	0.053	0	0	KIAA2012
0	0.624934229673016	0.504	0.174	0	0	WIPF3
0	0.608637737363378	0.558	0.221	0	0	PPP4R4
0	0.607516333983093	0.445	0.098	0	0	SLC24A4
0	0.602155818457478	0.491	0.173	0	0	FXYD7
0	0.599136100028813	0.543	0.221	0	0	MPP7
0	0.596626427424157	0.516	0.19	0	0	HRH2
0	0.590260764098455	0.521	0.186	0	0	GDA
0	0.588512014568672	0.433	0.114	0	0	PART1
0	0.587151302304611	0.996	0.709	0	0	DLGAP1
0	0.585378838127644	0.282	0.043	0	0	ADAMTS16
0	0.583438663008054	0.584	0.236	0	0	CPNE5
0	0.579436787589597	0.446	0.118	0	0	MIR222HG
0	0.573690468500765	0.498	0.187	0	0	UNC5A
0	0.550565043155103	0.339	0.059	0	0	IL12A-AS1
0	0.530001750138041	0.293	0.01	0	0	CNGB1
0	0.521615413296812	0.424	0.13	0	0	HTR2A
0	0.486778729646718	0.345	0.043	0	0	LZTS1
0	0.483984190712464	0.439	0.131	0	0	VIPR1
0	0.480282422118181	0.293	0.046	0	0	ART3
0	0.480079891502185	0.277	0.039	0	0	AC069133.1
0	0.479484417048334	0.899	0.535	0	0	CACNB2
0	0.476350579876901	0.344	0.06	0	0	PRSS3
0	0.474890802201243	0.378	0.106	0	0	LINC02217
0	0.460938921821913	0.426	0.132	0	0	USP43
0	0.416902247155259	0.283	0.04	0	0	AC016598.1
0	0.416412908886053	0.316	0.07	0	0	TMEM196
0	0.408927284122432	0.337	0.077	0	0	ZNF831
0	0.359523031478269	0.29	0.038	0	0	STYK1
0	0.350587425748569	0.257	0.036	0	0	ITPKA
0	-1.39706582784785	0.039	0.416	0	0	SLC6A1
0	-1.41440144749572	0.459	0.681	0	0	FCHSD2
0	-1.4271756576869	0.648	0.808	0	0	WWOX
0	-1.92242773181977	0.524	0.765	0	0	TCF12
0	-2.11899499299912	0.054	0.394	0	0	DOCK1
0	-2.46935875041372	0.6	0.823	0	0	NPAS3
0	-2.47615596725033	0.145	0.54	0	0	DOCK10
0	-2.52120260014815	0.109	0.461	0	0	NCKAP5
0	-2.53935051746818	0.522	0.704	0	0	PDE4B
0	-2.66511788922465	0.062	0.501	0	0	ZNF536
0	-2.74779533458717	0.378	0.711	0	0	ZBTB20
0	-2.94393424468738	0.408	0.775	0	0	QKI
0	-3.00139904798148	0.319	0.687	0	0	NEAT1
0	-4.14452808857871	0.27	0.739	0	0	ERBB4
2.06484987744103e-306	0.754138581270679	0.448	0.155	6.92509351896172e-302	0	AC120193.1
4.9362188604196e-305	-1.7618010074894	0.257	0.536	1.65550908140753e-300	0	SLC9A9
3.94918346321104e-304	0.503045302129189	0.415	0.134	1.32447714989172e-299	0	AC092902.3
4.77551689646952e-304	0.629673630261299	0.985	0.899	1.60161285673795e-299	0	ADGRB3
4.7938933562517e-304	0.597718801695132	0.581	0.256	1.60777595381969e-299	0	CAMKK2
1.24013245449471e-303	0.29924967065027	0.319	0.073	4.15915622588437e-299	0	TRIM36
4.42144931758709e-303	0.719270049398309	0.864	0.525	1.48286567213236e-298	0	SLC4A10
1.11047921467308e-302	0.43584638452539	0.379	0.111	3.72432519017056e-298	0	CRYM
9.83335402351187e-301	0.784608077541124	0.904	0.623	3.29791027240541e-296	0	MAP1B
1.27237113701286e-299	0.644119337141314	0.909	0.527	4.26727831931373e-295	0	FRMPD4
1.00847773490066e-298	0.535774381397724	0.474	0.18	3.38223262730985e-294	0	AC139491.7
2.25321953620999e-298	0.663103949706984	0.839	0.468	7.55684768054106e-294	0	SRRM3
7.90950543144594e-297	-1.37816922099052	0.108	0.418	2.65268993159834e-292	0	MTUS1
1.77026589858765e-295	-1.38175065881686	0.832	0.891	5.93711777068328e-291	0	SIK3
3.82006807947029e-294	0.632062706723276	0.792	0.466	1.28117443249275e-289	0	CIT
6.16077338893779e-293	0.698639662917668	0.463	0.171	2.06620017918196e-288	0	PKN2-AS1
7.64211910212057e-293	-2.25137549374132	0.111	0.411	2.5630139044692e-288	0	FBXL7
1.00407497904453e-292	0.664344784743468	0.855	0.535	3.36746666471956e-288	0	STXBP1
3.37936955213471e-291	0.769280134818917	0.502	0.194	1.13337296039494e-286	0	ADGRB2
1.95302905152134e-290	-2.09522617195443	0.085	0.391	6.55006883299226e-286	0	FRMD4B
5.14274571403245e-290	0.423905351640554	0.321	0.081	1.7247740575722e-285	0	LRRIQ1
7.60512483861679e-290	0.409703445739144	0.41	0.126	2.5506067683753e-285	0	HOPX
3.37458041455937e-289	0.672301947162739	0.698	0.379	1.13176677943492e-284	0	SYBU
4.41504573664239e-288	-1.38419808737141	0.045	0.349	1.48071803915513e-283	0	TANC1
4.49074382295013e-288	0.60876937396165	0.746	0.368	1.50610566334102e-283	0	NETO1
7.45888854127765e-288	0.627813075589233	0.942	0.653	2.5015620389737e-283	0	MAP2
2.61875649256941e-287	0.795645109252558	0.722	0.401	8.7827855247793e-283	0	PRKAR1B
2.33028552394065e-286	0.746633909421241	0.971	0.798	7.81531159019215e-282	0	PDE4DIP
3.3190313518191e-286	0.654695648696302	0.715	0.394	1.11313673477309e-281	0	PLXNA2
3.85270540380366e-286	0.369673940437606	0.391	0.123	1.29212033832767e-281	0	SGPP2
2.49960924378507e-285	-0.763904672715127	0.808	0.886	8.38318948180636e-281	0	TCF4
1.22957454099905e-284	0.620800930749153	0.278	0.061	4.1237470956026e-280	0	NEFM
1.65347280583315e-284	0.495939241568887	0.415	0.136	5.54541709620321e-280	0	LINC02223
1.40213816656205e-283	0.598410914962031	0.565	0.255	4.70249098301581e-279	0	AC006504.5
2.78893480024054e-283	0.48528054920799	0.352	0.098	9.35352953304672e-279	0	LINC01197
1.34950140853525e-282	0.637525896297812	0.555	0.245	4.52595782394551e-278	0	PDE2A
1.90581187590445e-282	0.564961523434798	0.34	0.095	6.39171186940835e-278	0	NRN1
2.24164527259472e-282	0.567585671134138	0.563	0.24	7.51802991522818e-278	0	PVT1
1.43654420817312e-281	-1.56887323894417	0.555	0.684	4.81788196537101e-277	0	ASTN2
2.30105303542329e-281	0.810724097870342	0.751	0.427	7.71727167020262e-277	0	PCNT
1.47948258148533e-280	0.738874987500454	0.581	0.264	4.96188868178552e-276	0	ARPP19
1.02318928743747e-279	0.782464883779206	0.759	0.415	3.43157223220778e-275	0	RAP1GAP2
6.70312690847039e-278	0.753219894335722	0.825	0.474	2.2480947025628e-273	0	UNC5D
6.91955077240501e-278	0.682801775022823	0.857	0.574	2.32067893804919e-273	0	DGKI
3.37351520049679e-277	0.666470404777717	0.744	0.418	1.13140952794261e-272	0	AMPH
9.49827967543862e-277	0.600952384615632	0.841	0.505	3.1855330375486e-272	0	KHDRBS3
1.80735634795384e-276	-2.39818308403224	0.385	0.613	6.0615117197676e-272	0	TMTC2
1.93726330565265e-276	0.683142180283801	0.888	0.537	6.49719367449785e-272	0	GRIN2B
3.1288372360412e-276	0.71342478422755	0.657	0.358	1.0493494322235e-271	0	BRINP2
3.52193742429728e-276	0.62768761544124	0.901	0.708	1.18118737336082e-271	0	PPP3CA
5.98749078493601e-276	-2.14221182126501	0.1	0.391	2.00808465945184e-271	0	SOX6
7.69389203216369e-276	-1.15625036600582	0.794	0.854	2.58037750974706e-271	0	DNM3
1.68944479262389e-274	0.762451817705488	0.784	0.504	5.66605994550199e-270	0	HSPA12A
1.71713816581735e-274	0.653481190611121	0.614	0.297	5.75893798051821e-270	0	ZDBF2
3.49370965728398e-274	0.692135096082952	0.773	0.459	1.1717203448599e-269	0	SEPT11
1.49095260505431e-273	0.490258493293143	0.465	0.179	5.00035684683116e-269	0	SCN3B
1.87784206657394e-273	-1.61261244133107	0.214	0.511	6.29790672287567e-269	0	DLC1
2.27148238037521e-272	0.580485887021993	0.616	0.289	7.61809760730238e-268	0	LMO4
9.57693406230117e-272	0.543958514463883	0.39	0.129	3.21191214581457e-267	0	HHAT
5.61875705511964e-271	0.514926571496076	0.47	0.171	1.88441874114603e-266	0	ZBTB7C
1.29601915990158e-270	0.458111245730215	0.398	0.131	4.34658905847791e-266	0	GFRA2
1.04967037529974e-269	0.76280929404665	0.67	0.345	3.52038450468028e-265	0	RAB40C
2.24941202381875e-269	0.332360023461535	0.275	0.063	7.54407804548331e-265	0	PTPRQ
4.58371147987097e-269	0.859916569236877	0.777	0.532	1.53728515611912e-264	0	AC098850.3
1.76949392885072e-268	0.58497557851814	0.936	0.577	5.93452873857956e-264	0	MYT1L
2.18597285266951e-268	0.587841415505239	0.622	0.307	7.33131575328302e-264	0	PPFIA4
9.14876489746082e-268	0.692930807061008	0.479	0.194	3.06831277131041e-263	0	MEIS3
2.14857450315474e-267	0.637449552401032	0.744	0.407	7.20588916868038e-263	0	BASP1
5.84715359433342e-267	0.405805981341233	0.743	0.391	1.96101837246754e-262	0	MYO1D
4.5768836733132e-266	0.534524445760736	0.813	0.528	1.53499524635578e-261	0	AK5
6.31674076062745e-266	0.435288150089746	0.326	0.09	2.11850851629924e-261	0	SLC38A11
9.44643165277395e-265	0.462968894521146	0.524	0.21	3.16814424770733e-260	0	MAST3
1.9918491591909e-264	-1.4410702320509	0.067	0.354	6.68026371009445e-260	0	CHD7
2.07464148495307e-263	0.626055616878185	0.836	0.565	6.9579326122356e-259	0	ROCK2
6.9908489536954e-263	0.671120069256316	0.803	0.523	2.34459092209036e-258	0	SNAP91
7.06387290393064e-263	0.671762098179997	0.788	0.552	2.36908169452026e-258	0	RPS6KC1
6.13114494570143e-262	0.45182524188757	0.387	0.129	2.05626339188935e-257	0	MAL2
1.21079372660819e-261	0.561123983026279	0.514	0.223	4.06076000029855e-257	0	ST8SIA3
1.59947065895216e-261	0.652947654223809	0.756	0.458	5.36430469599375e-257	0	VPS13A
4.02691620113388e-261	0.662090615684126	0.676	0.331	1.35054715553628e-256	0	KCNB2
2.01803853289045e-260	0.448844459008976	0.414	0.144	6.76809763160798e-256	0	NPY1R
3.84682997878394e-260	0.458739710058397	0.57	0.244	1.29014983828456e-255	0	SEC14L5
1.40794841564282e-259	-1.25690242046779	0.11	0.394	4.72197739638289e-255	0	KIAA1211
2.79601188626838e-259	0.521064388428893	0.415	0.147	9.37726466416691e-255	0	PPP1R14C
1.40853449379539e-258	0.623626115108066	0.87	0.542	4.72394298529098e-254	0	AFF3
2.27963698146163e-258	0.589671279221262	0.85	0.549	7.64544650842602e-254	0	SLC2A13
4.07714616090577e-258	0.645777264029605	0.718	0.428	1.36739327944458e-253	0	DCAF6
6.84900014757685e-258	0.44115237557366	0.523	0.211	2.29701766949433e-253	0	SHROOM3
2.78103843092396e-257	0.47510561295928	0.521	0.226	9.32704668963278e-253	0	CDYL2
6.49176996749099e-257	-1.90961599682238	0.486	0.664	2.17720981169713e-252	0	ERBIN
1.2307992802573e-256	-1.26507114394553	0.31	0.557	4.12785462612693e-252	0	ANKRD44
3.96169103285213e-256	0.678305122094432	0.562	0.246	1.32867193859795e-251	0	CPNE4
5.38830644841968e-256	0.64744132000531	0.732	0.447	1.80713021667099e-251	0	ATP6V1H
3.52731102674656e-255	0.589066934625125	0.537	0.245	1.18298957215026e-250	0	SLITRK5
4.50729033824949e-255	0.641967434952239	0.779	0.439	1.51165503364211e-250	0	SGSM1
5.3344200961739e-255	0.574930756156061	0.941	0.739	1.7890578118548e-250	0	SYNE1
9.56172507411023e-255	0.713069830878312	0.634	0.315	3.20681135535509e-250	0	LINC01122
1.49117391795782e-254	0.628023800031882	0.733	0.429	5.00109908604694e-250	0	MIAT
2.30396309396565e-254	0.391298874905753	0.253	0.056	7.727031424542e-250	0	AC025887.2
2.82335900535007e-254	0.318620073063903	0.292	0.075	9.46898143214306e-250	0	LRRC2
4.05912686085583e-254	0.529289627791064	0.741	0.346	1.36134996659383e-249	0	PDE1A
7.51629288560832e-254	-1.55691119330188	0.288	0.538	2.52081430797532e-249	0	PTPRM
2.31359613057268e-253	-1.55030485965143	0.054	0.33	7.75933870271464e-249	0	KCNIP1
4.35824464824885e-253	0.7502241540007	0.683	0.363	1.4616680901297e-248	0	KCNH7
1.37066092481044e-252	0.435795548653132	0.458	0.178	4.59692260962927e-248	0	CREG2
2.66512111479923e-252	0.856258782003896	0.715	0.358	8.93828319481367e-248	0	SORCS3
5.27689152256389e-251	1.37141067257339	0.281	0.074	1.76976387883748e-246	0	NPTX2
9.22731523040014e-251	0.522663027195706	0.852	0.475	3.0946569819716e-246	0	MTUS2
1.0335026815647e-250	0.526434147132824	0.586	0.285	3.4661612934317e-246	0	KCNAB2
1.74066334245812e-248	0.70776887936541	0.744	0.486	5.83783671793605e-244	0	RCAN2
2.79475137875892e-248	0.636482958181028	0.799	0.509	9.37303717408167e-244	0	TMEM108
6.1108454031313e-248	0.986137022557873	0.615	0.308	2.04945533130218e-243	0	IGSF9B
6.81288433013205e-248	0.379728102214095	0.379	0.127	2.28490514663969e-243	0	FHL2
1.86479830953107e-246	0.534755076318656	0.559	0.248	6.2541605705053e-242	0	DNAH6
2.61184493936196e-246	0.563015248138398	0.676	0.358	8.75960555763215e-242	0	GABRA2
8.74980907642526e-246	0.38799116568578	0.63	0.28	2.9345109680515e-241	0	UNC13C
1.6385163158267e-245	-1.56459425879106	0.103	0.375	5.49525602001957e-241	0	KANK1
1.7705420839806e-245	-1.1496132353388	0.055	0.329	5.93804404125413e-241	0	GPRC5B
2.27528061374014e-245	0.480175539782908	0.537	0.241	7.6308361223617e-241	0	TMOD1
3.65551701679884e-245	0.404604527756619	0.357	0.114	1.225987297094e-240	0	MIR4500HG
3.99032351864778e-245	0.623120901532118	0.538	0.237	1.33827470168409e-240	0	MAN1A1
8.91549438068158e-245	0.485036483678062	0.603	0.293	2.99007850539299e-240	0	GAP43
1.35573703408017e-244	0.338663897364731	0.35	0.111	4.54687086489808e-240	0	MFSD4A
1.37475374271775e-244	0.581720855636735	0.667	0.366	4.61064910232679e-240	0	LONRF2
1.97163006253373e-244	0.338124657375314	0.799	0.466	6.61245290372563e-240	0	XYLT1
1.1148731107294e-243	0.510672093666365	0.55	0.26	3.73906143876427e-239	0	SH3BGRL2
1.30590014463898e-243	0.612232519192756	0.675	0.365	4.37972790509022e-239	0	KCNH1
6.81726080777538e-243	-1.45662568768093	0.569	0.697	2.28637292971171e-238	0	MSI2
